"Project Name","Status","Year Started","Year Completed","Platform","Grants and Awards","Press","Partners / Clients","Brief Project Overview","Video","Image Carousel","Longer description of our involvement and/or our process (1-3 paragraphs)","Papers published (Title, Publication, Year, Link)","Software, hardware, middleware, etc","Credits / Collaborators","Additional Contributors","Links","Category 1","Category 2","Total Fee","Category/Tags (OLD)","x","x","x","x","","","","","",""
"Frederic Church Ombra Exhibition","Completed","2019","2019","iOS","","","Sage and Coome Architects","""Frederic Church’s Ombra: Architecture in Conversation with Nature” showcases multimedia design concepts and installations, developed by leading architects and select artists.  As Guest Curator, Barry Bergdoll (of Columbia University and the Museum of Modern Art) invited a group of today’s most exploratory architects to respond to the transitional outdoor rooms at Olana that are so essential to the original 19th century design of Olana’s Main House. These architects were asked to examine assumptions about the relationship of architecture and landscape at Olana, as well as to explore the Main House’s transition to the surrounding natural environment, particularly in our time of climactic and environmental change. Agile Lens was brought on by Sage & Coome for the digital side of their contribution.","","https://drive.google.com/drive/folders/1OjfEgdqIzB-yEgrazHnzjPg4QD91P8gw?usp=drive_link","Built an iOS AR app for Sage and Coombe Architects to locate their design work (alongside that of artist Chris Doyle) as part of an architectural exhibition. Then provided training for how to build similar apps on their own for future projects.","","","","","","Architecture","","","","","","","","","","","","",""
"Statue of Liberty Museum","Completed","2017","2017","","","","","Toward the finalization of the design, optimized FXCollaborative’s Revit model to provide a photoreal VR tour of Liberty Island with their intervention in place. Careful attention was paid to landscaping features and ensuring the site looked as excellent as possible while maintaining a 90 FPS playback rate.","","https://drive.google.com/drive/folders/1Ia-ZixvnVhmsxXckFARUpbA1F8NHnDMX?usp=drive_link","","","","","","https://www.archdaily.com/917627/statue-of-liberty-museum-fxcollaborative","Architecture","","","","","","","","","","","","",""
"Ed Sullivan Theater","Completed","2017","2017","","","","Bravo Media","Agile Lens led development for Bravo Media of a GearVR and browser-based experience to determine optimal locations for architectural projection to achieve a seamless stained-glass effect. This was per Stephen Colbert’s request with a tight deadline before beginning his tenure on The Late Show, and the app needed to help save time in the planning process. The virtual projectors could be spawned, aimed with headpose, driven around the grid, and even have their throw distance adjusted as needed.","","https://drive.google.com/drive/folders/11PHmsCN3xnNDSr-8TOFLxDs3pDF9Fwkc?usp=drive_link","","","","","","","Architecture","","","","","","","","","","","","",""
"The Shed @ Hudson Yards","Completed","2016","2019","","","","","Agile Lens periodically created custom AR and VR experiences throughout the design process for Diller Scofidio + Renfro and Fisher Dachs Associates. Example use cases include parametric design options for maximizing seat count and a specialty equipment ‘clearance checker.’","","https://drive.google.com/drive/folders/1CAOtDRQhcxAxTCOzzTxAWE1is-8qONzl?usp=drive_link","","","","","","","Architecture","","","Architecture","","","","","","","","","",""
"Rice University Music and Performing Arts Center","Completed","2014","2020","","","","","","","https://drive.google.com/drive/folders/1hw65hoWh8yyRioe7jF6M2ZnMT2mymwqa?usp=drive_link","RUMPAC will house a three-tiered, 600-seat, European-style opera theatre with an orchestra pit for 70 musicians. “The opera house is a visual overture to prepare the audience to enter into the magical world conjured by the music, the story and the theatrical setting of the opera,” said architect Allan Greenberg. “It facilitates a journey into the mind of the composer, in which the human voice gives breath to a living fantasy.” Agile Lens has utilized virtual reality on this project from the earliest concept studies all the way through its now completed design (the project is currently under construction). This constantly updated VR model allowed the unique opportunity to evaluate the design at different stages, all while bearing in mind the human-scale experience of it. In concept design, the team utilized VR sketches and diagrammatic spatial models to determine the strongest overall direction in which to proceed. As the design developed, further options were built into the custom VR experience to determine ideal locations for aisles, seats, railings, catwalks, and lights. As the project neared completion, Agile Lens moved the project from the Unity3D visualization engine to Unreal Engine in order to better serve the photorealistic needs of the lighting and materials. In 2018 their work was a featured case study on Unreal Engine’s website.","","Unity, Unreal, Revit","","","","Architecture","","","Architecture","","","","","","","","","",""
"Intel Project Arena","Completed","2018","2018","","","","","","","https://drive.google.com/drive/folders/1c5IUF7eDCNnhxCBNtW5-rBkgoQdx4MY-?usp=drive_link","When Intel® set out to showcase the power of the Intel® Core™ i9 processor for a virtual reality project, they wanted to go big. As in, arena big. Not just with the structure itself, but with its most striking feature - the thousands of enthusiastic fans inside it. To show how its processors could handle such a computationally-intensive project, Intel commissioned Project Arena, a large virtual facility complete with a playing area, arena seating, lobby, and food court. The experience also includes thousands of virtual 3D fans who not only walk, sit, and move around like a real crowd, but also stand up and cheer at the click of a button. Beyond that, you can even pick a view you enjoy and with the click of a button, snap a beautiful V-Ray render. Agile Lens was brought on to lead the development of this one-of-a-kind VR experience. Working in collaboration with The Glimpse Group, Octopus, Supersymmetric, and HOK (who provided their 3D model of State Farm Arena), the project continuously evolved to accomodate innovative new possibilities, all the while keeping expectations in line with the capabilities of the target technology. The result is a powerful showcase of virtual reality at its most epic.","","Revit","The Glimpse Group, Octopus, Supersymmetric, HOK","","https://unrealengine.com/en-US/spotlights/intel-vr-arena-and-unreal-engine-making-a-fan-experience

https://www.intel.com/content/dam/develop/external/us/en/documents/intel-projectarena-solutionbrief-final.pdf​","","","","Immersive Marketing","","","","","","","","","",""
"Alive In Plasticland","Completed","2018","2019","High Fidelity VR","","","High Fidelity, Double Eye Productions, Cinema360","In partnership with High Fidelity, Agile Lens produced and performed some short-form improv shows and improv workshops on their social VR platform with 6 actors sharing 3 headsets. Shows were performed for virtual and in-person audiences.","","https://drive.google.com/drive/folders/1wDReOoWjmJ3fETqoAnQN6uonkCaeGCKI?usp=drive_link","In a research and development initiative that fused digital and physical environments, the project, Alive in Plasticland, investigated advancements in the realm of live entertainment through virtual reality. A team of seven professional improvisers from New York City showcased short-form improvisational theater simultaneously to an online virtual audience and a live audience. This dual-audience format was facilitated using three HTC Vive headsets and High Fidelity’s social VR platform, which allowed for innovative use of virtual avatars and a seamless integration of virtual and real-world elements. The setup included live broadcast audio and a virtual camera system that projected the virtual theater experience into the physical theater, and vice versa, enriching the interactive experience for all attendees. Additionally, the project team conducted three improvisational workshops within the same VR platform and environment.","D. Gochfeld, K. Benzing, K. Laibson and A. Coulombe, ""Avatar Selection for Live Performance in Virtual Reality: A Case Study,"" 2019 IEEE Games, Entertainment, Media Conference (GEM), New Haven, CT, USA, 2019, pp. 1-5, doi: 10.1109/GEM.2019.8811548","","Co-directed by Kiira Benzing and Kevin Laibson
Produced by Alex Coulombe and David Gochfeld
Cast: Keisha Zollar, Sarah Nowak, Ray Cordova, Jake Keefe, Tracy Mull, Josh Hurley, Katie Hartman
Emcee: Kevin Laibson
Associate Producer: Michelle Francesca Thomas​","Sponsored in part by HTC Vive, Shows & Workshops hosted in physical space by VRBar & Kishore Doddi. Video documentation by Adrian Vasquez de Velasco.","https://medium.com/alive-in-plasticland/virtual-theatre-in-high-fidelity-6702fd2f1171","Entertainment","Production/Performance Consultation (Billable)","","Performance","","","","","","","","","",""
"Loveseat","Completed","2019","2019","","Selection, Venice International Film Festival 2019 ","","","Two lonely, ordinary people are drawn into a reality show competition to win the love of a Perfect Partner (who looks an awful lot like an empty chair). Part-story, part-interaction between virtual and real worlds; the performers intersect realities in this comedy. Performed simultaneously to virtual and real world audiences.","","https://drive.google.com/drive/folders/1Y1lcVVO_Cein2MUCyWdn3H1-Jnw3dPzb?usp=drive_link","","","","Produced by Double Eye Studios
Written by Mac Rogers
Directed by Kiira Benzing
Cinematography by Adrian Vasquez de Velasco
Design Lead, Alex Coulombe & Agile Lens
Featuring: Jenn Harris, Jonathan David Martin, Sam Kebede
Costume Design: Heather Carey
Sound: Chapter Four
Viz: Nice Shoes
Composers: Lucas Lechowsi, Karim Douaidy
Technical Directors: David Gochfeld, Mark Sternberg, Daniel Sabio, Chris Toppino","","https://www.imdb.com/title/tt10857192/","Production/Performance Consultation (Billable)","Entertainment","","Performance","","","","","","","","","",""
"That Kind of Guy","Completed","2019","2019","Magic Leap","","Kent Bye's Podcast Voices of VR Episode #806","Theatre Communications Group National Conference","A tabletop theater volcap/mocap study for the TCG conference about the kind of guy who, when he walks into a room, everybody notices him.","https://youtu.be/zaiMO-6qD2Y","https://drive.google.com/drive/folders/14_wzfJ3TEvjwOmldeqz5Ss9_xz5CUFdu?usp=drive_link","This tabletop performance experiment was created for the 2019 Theatre Communications Group National Conference in order to demonstrate to theatre-makers some pros and cons of volumetric capture versus motion capture.

An example: volcap looks more like that actual performer but is more 'baked,' while mocap has less realism but also allows for more post-production and real-time interactivity, such as always having a character look at you.

Additionally, we wanted to combat the perception that producing such an experience is prohibitively expensive, as we created this on minimal budget using  consumer-level technology.","","Depthkit, Unity, Microsoft Azure Kinect, Vive Trackers","Written & Performed by Josephine Simple","","","Performance Research (Non-billable)","Entertainment","","Performance","","","","","","","","","",""
"Ghosted","Completed","2019","2019","Magic Leap","Winner, Most Innovative Immersive Experience Award, NBFF; Winner, Audience Live Poll Prize, NYCMedia Lab Expo; Nominee, Best Art or Film, AWE Auggie Awards; Finalist, Cannes XR Development Showcase; Recipient of the Wassaic Haunted Mill Residency (2022)","","North Bend Film Festival","Ghosted is an interactive augmented reality performance piece, featuring volumetrically captured actors appearing across a table from the user in a simulated dating simulator -- for ghosts!","","https://drive.google.com/drive/folders/1Yfae-GpNHrBvG877a1_wfhDQv2qaAIR1?usp=drive_link","An open commission by the North Bend Film Festival, Ghosted was designed from the start to use the limitations of the Magic Leap One headset and low-budget volumetric capture from one Azure Kinect by making the subjects of the piece ghosts who remain seated across the table from you. The limited mobility is organic to the setting (a speed-dating scenario) and also keeps the AR objects well within the headset's field of view. It also allowed us to use single-angle volumetric shots, as the user would not be able to see the back half of the subjects anyway. 
We brought in collaborating artists from the NYC comedy and theater scene, compiled the scripts over the course of a month, and then shot each of the 17 vignettes over the course of a week. Those assets were assembled in to a functional app within another 6 weeks.","","Unreal Engine, Depthkit, Azure Kinect Camera, Adobe Premiere Pro","Lead Developer - Alex Coulombe

Head Writer, Producer - Allyson Morgan

Director, Producer - Kevin Laibson

On-set Consultant - David Gochfeld

AMANDA - Written & Performed by Marina Tempelsman • CRAGE - Written & Performed by J.W. Crump • MARGARET - Written & Performed by Robin Virginie • HAZEL - Written & Performed by Sarah Nowak • CORY - Written by Emily Chaddick Weiss; Performed by Steven Boyer • GUS PIZZA - Written & Performed by Mark Vigeant • DWIGHT - Written by Caroline V. McGraw; Performed by Curran Connor • TAMSI - Written & Performed by Tamsi New • ALEISTER - Written and Voice performed by Lucas Hazlett; MoCap performance by Kevin Laibson • LUCY - Written & Performed by Lucy Cottrell • DONALD - Written by Niccolo Aeed; Performed by Donald Chang • EDIE - Written by Joshua Conkel; Performed by Jill Frutkin • GORDON - Written & Performed by Jake Keefe • ALEX - Written & Performed by Alex Song • GARY - Written & Performed by Nick Carrillo • LLANA - Written & Performed by Amy Staats • SHE - Written by Gregory S. Moss; Performed by David Mitsch • GHOST HOST - Written & Performed by Allyson Morgan •
 

Special thanks to Magic Leap, Scatter, and the team at the North Bend Film Festival for their support.","","","Performance Research (Non-billable)","Entertainment","","Performance","","","","","","","","","",""
